feature,importance
nb_hyperlinks,0.11272568
nb_www,0.102850616
phish_hints,0.06040098
ip,0.058953967
domain_in_title,0.051898375
ratio_digits_host,0.031837314
nb_qm,0.030660877
longest_word_path,0.03065905
length_words_raw,0.030028421
domain_in_brand,0.02623789
ratio_extHyperlinks,0.023703815
nb_dots,0.023555866
nb_hyphens,0.022814356
domain_with_copyright,0.020422367
safe_anchor,0.019967051
empty_title,0.019893453
nb_eq,0.018648647
longest_words_raw,0.016844364
nb_underscore,0.014378898
shortest_word_path,0.014285583
ratio_digits_url,0.014035415
ratio_intHyperlinks,0.013854764
length_hostname,0.013754122
suspecious_tld,0.01209789
ratio_extRedirection,0.011968438
nb_slash,0.010843555
nb_at,0.009802602
shortest_word_host,0.009726639
links_in_tags,0.009487143
char_repeat,0.009081808
nb_subdomains,0.008372932
prefix_suffix,0.008340327
external_favicon,0.008112683
length_url,0.007977445
avg_words_raw,0.007819341
tld_in_subdomain,0.0076047797
nb_extCSS,0.0074571106
ratio_intMedia,0.007332694
nb_redirection,0.007303169
ratio_extErrors,0.00716268
ratio_extMedia,0.0069354866
nb_percent,0.006528432
random_domain,0.0064617153
login_form,0.0063039605
longest_word_host,0.0062410324
avg_word_path,0.006169194
shortest_words_raw,0.0058458876
nb_space,0.005797129
shortening_service,0.00574661
avg_word_host,0.005695739
tld_in_path,0.0053457306
nb_com,0.0052241436
https_token,0.004801821
nb_or,0.0
nb_and,0.0
nb_star,0.0
nb_tilde,0.0
nb_semicolumn,0.0
nb_comma,0.0
nb_dslash,0.0
http_in_path,0.0
port,0.0
punycode,0.0
path_extension,0.0
abnormal_subdomain,0.0
nb_external_redirection,0.0
nb_dollar,0.0
nb_colon,0.0
brand_in_subdomain,0.0
ratio_nullHyperlinks,0.0
brand_in_path,0.0
ratio_intErrors,0.0
ratio_intRedirection,0.0
sfh,0.0
submit_email,0.0
onmouseover,0.0
popup_window,0.0
iframe,0.0
right_clic,0.0
